건강생활지원센터명,건강생활지원센터 유형,소재지도로명주소,위도,경도,운영시작시각,운영종료시각,휴무일정보,건강증진사업내용,기타이용안내,의사수,간호사수,영양사수,신체활동전문인력수,물리/작업치료사수,사회복지사수,간호조무사수,기타인력현황,건강검진장비현황,체력측정장비현황,운동장비현황,금연사업장비현황,영양사업장비현황,절주사업장비현황,재활사업장비현황,기타보건교육장비현황,감염병예방장비현황,운영기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
용암건강생활지원센터,기본형,충청북도 청주시 상당구 용암북로160번길 17,36.62217424,127.5153011,09:00,18:00,토+일+공휴일,신체활동+만성질환관리+영양+재활,,0,2,1,1,1,0,0,행정인력(1),혈압계+혈당측정기+체성분분석기,없음,러닝머신+입식사이클+정글짐,없음,염도계+식단/식품모형+식품구성자석보드,없음,재활운동용러닝머신+상하지운동기+전동상,O,X,043-201-3501,충청북도 청주시 상당보건소,2025-12-19,B553430,한국건강증진개발원
덕산건강생활지원센터,기본형,충청북도 진천군 덕산읍 연미로 31,36.89973094,127.5282012,09:00,18:00,토+일+공휴일,신체활동+영양+모자보건+만성질환관리,건강체험관 운영,0,1,1,0,0,0,0,행정인력(1)+치과위생사(1),신장체중계+체성분분석기+스트레스측정기,없음,순환식 공압운동기+실내자전거,어린이 흡연예방 모형(폐모형+COPD,영양프로그램실+식품모형+비만거울,가상음주체험고글,없음,X,O,043-539-7425,충청북도 진천군보건소,2025-12-19,B553430,한국건강증진개발원
용두건강생활지원센터,기본형,충청북도 제천시 용두대로 17길 8,37.14231622,128.200363,09:00,18:00,토+일+공휴일,신체활동+만성질환예방+영양+구강,,0,3,1,1,1,0,0,2(치과위생사(1)+청사관리인력(1),신장측정기+체성분분석기+혈압계+혈당측,악력측정기+배근력측정기+종합체력기능측,순환식공압운동기(숄드프레스+풀다운+체,금연예방모형,염도계+당도계+당뇨밥솥+전자저울+슬로,어린이 음주예방모형+음주체험고글,없음,O,O,043-641-3282,충청북도 제천시보건소,2025-12-19,B553430,한국건강증진개발원
맹동건강생활지원센터,기본형,충청북도 음성군 맹동면 사예2길 35,36.91364052,127.5449461,09:00,18:00,토+일+공휴일,신체활동+만성질환관리+영양+모자보건,건강원스톱 운영,0,0,2,0,1,0,0,치과위생사(1),체성분분석기+혈압계+혈당측정기+빈혈측,윗몸일으키기측정기+종합체력기능측정기,러닝머신+버터플라이머신+체스트플라이머,흡연결과비교모형+폐비교모형+금연교육용,조리실습용 장비+식단/식품모형+식품구,순수알코올양보드판,없음,X,X,043-871-2191,충청북도 음성군보건소,2025-12-19,B553430,한국건강증진개발원
홍성군건강생활지원센터,기본형,충청남도 홍성군 홍북읍 청사로48번길 22,36.647525826,126.6765774422,09:00,18:00,토+일+공휴일,구강+재활+영양+신체활동+심뇌혈관,건강체험관 운영,0,2,1,1,2,0,0,치과위생사(4),체성분분석기+혈압계+당화혈색소측정기+,없음,러닝머신+순환운동기구6종+입식사이클,일산화탄소측정기+폐활량측정기,염도계,가상음주체험키트 및 고글+어린이 음주,평행봉+러닝머신+자전거운동기+어깨회전,O,X,041-630-9783,충청남도 홍성군보건소,2025-12-19,B553430,한국건강증진개발원
안면읍건강생활지원센터,기본형,충청남도 태안군 안면읍 장터로 149-2,36.5206713494,126.3444919574,09:00,18:00,토+일+공휴일,신체활동+치매+심뇌혈관+금연+구강,자살예방사업+재활기구 대여사업+건강동,0,3,0,0,1,0,0,금연상담사(1),체성분분석기+혈압계+신장체중계+혈당측,없음,러닝머신+순환식유압운동기+일립티컬머신,흡연자구강모형+폐비교모형+흡연자혈관모,없음,없음,없음,X,X,041-671-5271,충청남도 태안군보건의료원,2025-12-19,B553430,한국건강증진개발원
성정건강생활지원센터,기본형,충청남도 천안시 서북구 서부8길 29,36.8197755,127.1398835,09:00,18:00,토+일+공휴일,만성질환관리+금연+신체활동+영양+비만+구강+심뇌혈관관리+방문,건강체험관 운영,0,3,0,1,0,0,1,,체성분분석기+혈압계+혈당측정기+당화혈,악력측정기+종합체력기능측정기,러닝머신+사이클+순환식유압운동기+균형,일산화탄소측정기,염도계,어린이음주예방모형,없음,O,X,041-521-5791,충청남도 천안시서북구보건소,2025-12-19,B553430,한국건강증진개발원
청수건강생활지원센터,기본형,"충청남도 천안시 동남구 청수6로 106-3, 6층",36.78962635,127.1553044,09:00,18:00,토+일+공휴일,금연+신체활동+심뇌혈관관리+치매+영양+비만+방문+만성질환관리,천안새마을금고 연계,0,2,1,2,0,0,1,행정인력(1),신장체중계+체성분분석기+혈당측정기+혈,악력측정기,러닝머신(2)+순환식유압운동기(7)+,일산화탄소(CO)측정기+요중니코틴측정,염도계+요중나트륨배설량측정기,없음,없음,O,X,041-521-5897,충청남도 천안시동남구보건소,2025-12-19,B553430,한국건강증진개발원
동부(아산시)건강생활지원센터,기본형,충청남도 아산시 배방읍 용연동길 50,36.79320709,127.0939081,09:00,18:00,토+일+공휴일,금연+영양+신체활동+심뇌혈관+아토피천식,통합건강관리실 예약제 운영+어린이건강,1,4,0,0,0,0,0,,체성분분석기+혈압계+혈당측정기+콜레스,악력측정기+자전거에르고미터+러닝머신,순환식유압운동기(레그익스텐션+펙덱 플,일산화탄소(CO)측정기+폐 비교 모형,염도계+고혈압+ 당뇨 등 각종식단 및,가상음주체험고글,없음,O,X,041-537-3596,충청남도 아산시보건소,2025-12-19,B553430,한국건강증진개발원
동부(서산시)건강생활지원센터,기본형,충청남도 서산시 쌍연북2로 19 (동문동),36.78789946,126.4642169,09:00,18:00,토+일+공휴일,재활+치매+심뇌+금연+영양+신체활동,"월,수 야간운영(20시까지)",1,4,1,1,4,0,0,,체성분분석기+혈압계+콜레스테롤측정기+,앉아서윗몸앞으로굽히기측정기+종합체력기,숄더프레스+버터플라이+체스트프레스+토,일산화탄소(CO)측정기,식단식품모형,없음,전동맷돌훈련기+벨트식전동기립훈련기+균,O,X,041-660-4921,충청남도 서산시보건소,2025-12-19,B553430,한국건강증진개발원
송악건강생활지원센터,기본형,충청남도 당진시 송악읍 신복운로 99,36.9387011889,126.7786187076,09:00,18:00,토+일+공휴일,신체활동+영양+비만+만성질환 예방관리+치매+우울증,건강체험관 운영+ 매주 화 목요일 2,0,0,1,1,0,0,1,행정인력(1),체성분분석기+혈압계+혈당측정기,근력측정장비6종,러닝머신+순환운동기기,없음,염도계+식단/식품모형+영양프로그램,없음,없음,O,X,041-360-6080,충청남도 당진시보건소,2025-12-19,B553430,한국건강증진개발원
논산시건강생활지원센터,기본형,충청남도 논산시 해월로125번길 26,36.204783485,127.0822883223,09:00,18:00,토+일+공휴일,신체활동+영양+구강+만성질환관리,건강체험관 운영,0,3,2,1,0,0,0,치위생사(2),체성분분석기+신장체중계+혈압계+체온계,종합체력기능측정기+악력측정기,균형훈련기+사이클,없음,염도계+식단/식품모형,가상음주체험고글,없음,O,O,041-746-8025,충청남도 논산시보건소,2025-12-19,B553430,한국건강증진개발원
금산군건강생활지원센터,기본형,충청남도 금산군 금산읍 건삼전3길 14,36.1015780168,127.491420047,09:00,18:00,토+일+공휴일,금연+음주폐해예방+신체활동+영양+비만,,0,1,0,1,0,0,0,행정인력(3)+임상병리사(1)+금연상,혈압계(1)+신장체중계(1)+체성분분,자세측정기+평형측정기,러닝머신(1)+진동운동기(1)+균형훈,일산화탄소(CO)측정+흡연자구강모형+,없음,없음,없음,X,X,041-754-8334,충청남도 금산군보건소,2025-12-19,B553430,한국건강증진개발원
화북건강생활지원센터,기본형,제주특별자치도 제주시 동화로1길 45-22,33.51836381,126.5783832,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+영양+감염병,건강생활실천사업+치매인지선별검사+금연,0,3,1,1,0,0,0,행정인력(1),혈압계+혈당측정기+콜레스테롤+당화혈색,자전거에르고미터+악력측정기+종합체력기,러닝머신(2)+입식바이크+좌식바이크+,일산화탄소(CO)측정기(2),없음,없음,없음,O,X,064-728-8511,제주특별자치도 제주시 제주보건소,2025-12-19,B553430,한국건강증진개발원
오산시 건강생활지원센터,기본형,"경기도 오산시 문헌공로 45, 1층",37.1766480518,127.0545656085,09:00,18:00,토+일+공휴일,신체활동+영양+심뇌혈관+한의약+모자보건+만성질환관리,건강원스톱 예약제 운영,0,5,1,1,1,0,0,,체성분분석기+혈압계+신장체중계+혈당측,없음,러닝머신+사이클+레그컬익스텐션+체스트,없음,염도계+식단/식품모형+영양프로그램,없음,없음,X,X,031-8036-6580,경기도 오산시보건소,2025-12-19,B553430,한국건강증진개발원
가남건강생활지원센터,동단위형,경기도 여주시 가남읍 태평중앙1길 20,37.2016541765,127.5448729499,09:00,18:00,토+일+공휴일,금연+신체활동+심뇌혈관관리+영양+치매,찾아가는 경로당 건강증진사업+건강동아,0,1,0,0,0,0,0,,체성분분석기+신장체중계+혈압계+당화혈,없음,레그익스텐션+레그컬+레그프레스+토탈힙,일산화탄소(CO)측정기,입체모형 패널 3종+식단/식품모형+식,없음,없음,O,X,031-887-3457,경기도 여주시보건소,2025-12-19,B553430,한국건강증진개발원
용문건강생활지원센터,기본형,경기도 양평군 용문면 용문로 393,37.4871565647,127.5965732699,09:00,18:00,토+일+공휴일,만성질환관리+금연+영양+비만+정신건강+치매+신체활동+한의약+아토피천식,용문건강생활지원센터 별관,0,2,1,2,0,0,0,,체성분분석기+혈압계+혈당측정기+콜레스,악력측정기+종합체력기능측정기+배근력측,러닝머신+레그컬머신+버터플라이머신+암,일산화탄소측정기,식품모형+비만체험조끼+근육·지방모형+,없음,없음,X,X,031-770-3778,경기도 양평군보건소,2025-12-19,B553430,한국건강증진개발원
서부(양주시)건강생활지원센터,기본형,경기도 양주시 광적면 부흥로 618번길 303,37.8124996904,126.9723071622,09:00,18:00,토+일+공휴일,금연+신체활동+심뇌혈관+영양+만성질환관리,대사증후군 관리+ 어린이건강체험관 운,0,3,1,1,0,0,0,치위생사(2),혈압계+당화혈색소측정기+혈당측정기+신,악력측정기+체력측정및운동가이드시스템,러닝머신+순환식유압운동기+사이클,일산화탄소(CO)측정기+흡연자 구강모,염도계+식단/식품모형+영양프로그램,어린이 음주예방모형+가상음주체험고글,없음,O,X,031-8082-4379,경기도 양주시보건소,2025-12-19,B553430,한국건강증진개발원
동부(양주시)건강생활지원센터,기본형,경기도 양주시 화합로 1426번길 90,37.8381418085,127.0680360014,09:00,18:00,토+일+공휴일,금연+신체활동+심뇌혈관+만성질환관리+영양,모바일헬스케어+대사증후군 관리+이동형,0,3,1,1,0,0,0,행정인력(3),체성분분석기+혈압계+신장체중계+당화혈,악력측정기+체력측정및운동가이드시스템,러닝머신+순환식유압운동기+사이클,일산화탄소(CO)측정기+흡연자 구강모,염도계+식단/식품모형+영양프로그램,없음,없음,O,X,031-8082-4365,경기도 양주시보건소,2025-12-19,B553430,한국건강증진개발원
공도건강생활지원센터,기본형,경기도 안성시 공도읍 공도로 51-11,36.9996730979,127.166249433,09:00,18:00,토+일+공휴일,신체활동+만성질환관리,꿈나무건강체험관+건강관리실 운영,0,2,0,1,0,0,0,행정인력(1)+임상병리사(1)+방사선,체성분분석기+혈압계+혈당측정기+고지혈,악력측정기+자전거에르고미터+각근력측정,러닝머신+헬스자전거,흡연자 구강모형,어린이 영양식품 모형,어린이 음주예방모형+가상음주체험고글,휠체어+워커,X,X,031-678-6801,경기도 안성시보건소,2025-12-19,B553430,한국건강증진개발원
안산서부건강생활지원센터,기본형,경기도 안산시 단원구 신길중앙로 15,37.3379920246,126.7621942744,09:00,18:00,토+일+공휴일,금연+신체활동+영양+비만+만성질환관리,원스톱건강관리실 예약제 운영+지역사회,0,3,1,1,0,0,0,행정인력(1),체성분분석기+혈압계+고지혈측정기+혈당,악력측정기+체력측정및운동가이드시스템,러닝머신+레그프레스머신+레그익스텐션머,일산화탄소(CO)측정기+폐활량측정기,염도계,없음,없음,O,X,031-481-6465,경기도 안산시 단원보건소,2025-12-19,B553430,한국건강증진개발원
반월건강생활지원센터,기본형,경기도 안산시 상록구 건건로 119-4,37.3121929249,126.9045149527,09:00,18:00,토+일+공휴일,금연+신체활동+영양+심뇌혈관+모자보건+치매,어린이건강체험관 운영,0,5,1,1,0,0,0,,체성분분석기+혈압계+당화혈색소측정기+,체력측정및운동가이드시스템,체스트링크+레그링크+숄더링크+콕사링크,일산화탄소(CO)측정기,염도계+식단/식품모형,어린이 음주예방모형+가상음주체험고글,없음,O,X,031-481-3792,경기도 안산시 상록수보건소,2025-12-19,B553430,한국건강증진개발원
중부(시흥시)건강생활지원센터,기본형,경기도 시흥시 목감우회로 23,37.3816540411,126.8587492431,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+영양+비만+모자보건+재활,재활기구 대여사업,0,2,1,1,3,0,0,행정인력(1),혈압계+체온계+신장체중계+체성분분석기,없음,레그컬머신+레그익스텐션머신+숄더프레스,없음,식품추천모형+염도계+염분량입체모형패널,없음,러닝머신+진동운동기+균형훈련기+수력저,O,X,031-310-0722,경기도 시흥시보건소,2025-12-19,B553430,한국건강증진개발원
은계건강생활지원센터,동단위형,"경기도 시흥시 수인로3247번길 33, 3층",37.4356859398,126.7980018591,09:00,18:00,토+일+공휴일,신체활동+심뇌혈관+만성질환,임산부영유아튼튼교실,0,1,0,1,0,0,0,행정인력(1),체성분분석기+혈압계+혈당측정기+당화혈,없음,없음,금연모형,식단/식품모형,없음,없음,O,X,031-310-2722,경기도 시흥시보건소,2025-12-19,B553430,한국건강증진개발원
배곧건강생활지원센터,동단위형,"경기도 시흥시 배곧4로 94-41, 1층",37.3717155514,126.7357765419,09:00,18:00,토+일+공휴일,신체활동+심뇌혈관+만성질환,임산부영유아튼튼교실,0,1,0,1,0,0,0,행정인력(1),체성분분석기+혈압계+혈당측정기+당화혈,기초체력측정장비6종,순환운동기구5종,금연모형,식단/식품모형,없음,없음,O,X,031-310-5896,경기도 시흥시보건소,2025-12-19,B553430,한국건강증진개발원
호평건강생활지원센터,기본형,경기도 남양주시 호평로68번길 21,37.6545679255,127.2489488043,09:00,18:00,토+일+공휴일,신체활동+비만+만성질환관리,스트레스측정(자율신경계기능검사),0,1,1,1,0,0,0,행정인력(1),체성분분석기+혈압계,종합체력기능측정기,없음,없음,없음,없음,없음,O,X,031-590-8089,경기도 남양주시 남양주보건소,2025-12-19,B553430,한국건강증진개발원
와부건강생활지원센터,기본형,경기도 남양주시 와부읍 월문천로 35,37.5855152701,127.2163280571,09:00,18:00,토+일+공휴일,신체활동+영양+만성질환관리+구강,,0,1,1,1,0,0,0,,체성분분석기+혈압계,종합체력기능측정기,러닝머신+입식/좌식 사이클+레그 익스,없음,식품모형,없음,재활운동용 트래드밀+공압식 운동기,O,X,031-590-2751,경기도 남양주시 남양주보건소,2025-12-19,B553430,한국건강증진개발원
오남건강생활지원센터,기본형,"경기도 남양주시 오남읍 진건오남로 806-34, 오남읍사무소 2층",37.6985747889,127.2048423528,09:00,18:00,토+일+공휴일,신체활동+비만+심뇌혈관,,0,2,0,1,0,0,0,행정인력(1),체성분분석기+혈압계,없음,없음,없음,없음,어린이 음주예방모형+가상음주체험고글,없음,O,X,031-590-8501,경기도 남양주시 남양주풍양보건소,2025-12-19,B553430,한국건강증진개발원
별내건강생활지원센터,기본형,"경기도 남양주시 별내3로 64-21, 별내행정복지센터 2층 (별내동)",37.6461661452,127.1218824648,09:00,18:00,토+일+공휴일,신체활동+비만+심뇌혈관,,0,1,1,1,0,0,0,행정인력(1),체성분분석기+혈압계,없음,없음,없음,없음,없음,없음,O,X,031-590-8190,경기도 남양주시 남양주풍양보건소,2025-12-19,B553430,한국건강증진개발원
다산건강생활지원센터,기본형,"경기도 남양주시 다산중앙로 7, 다산행정복지센터 2층",37.613927595,127.1555488974,09:00,18:00,토+일+공휴일,신체활동+비만+영양+만성질환관리,,0,0,1,1,0,0,0,,체성분분석기+혈압계,종합체력기능측정기,없음,없음,식품모형,어린이 음주예방모형+가상음주체험고글,없음,O,X,031-590-8582,경기도 남양주시 남양주보건소,2025-12-19,B553430,한국건강증진개발원
송정건강생활지원센터,기본형,경기도 군포시 송부로 93,37.3172182842,126.9240905053,09:00,18:00,토+일+공휴일,신체활동+만성질환관리+영양,건강원스톱예약제,1,2,1,2,0,0,0,"행정인력(3),환경미화(1)",체성분분석기+혈압계+혈당측정기+고지혈,종합체력기능측정기+체력측정및운동가이드,러닝머신+일립티컬머신+숄더프레스머신+,없음,식단/식품모형+영양프로그램+식품구성자,없음,없음,O,X,031-389-4942,경기도 군포시 보건소,2025-12-19,B553430,한국건강증진개발원
갈매건강생활지원센터,기본형,"경기도 구리시 갈매중앙로80, 3층",37.6314430764,127.1177773667,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+영양+구강+치매+재활+모자보건,어린이건강체험관+원스톱건강체크 예약제,0,4,1,1,1,0,0,치과위생사(1)+임상병리사(1)+기간,혈압계+체온계+신장체중계+체성분분석기,체력측정및운동가이드시스템,입식사이클,없음,염도계+당도계+고혈압+ 당뇨 등 각종,없음,등속성운동기+낙상 위험도 측정기+각근,O,X,031-550-2561,경기도 구리시보건소,2025-12-19,B553430,한국건강증진개발원
오포건강생활지원센터,기본형,경기도 광주시 오포로 884-1 (고산동),37.3690097821,127.232182722,09:00,18:00,토+일+공휴일,재활+신체활동+아토피천식+만성질환관리+모자보건,어린이건강체험관운영+모바일헬스케어+통,0,12,3,1,2,0,1,,체성분분석기+혈압계+신장체중계+당화혈,없음,수력상지저항운동기+좌식사이클+수동상하,폐모형,식단/식품모형,어린이 흡연음주예방모형+가상음주체험고,어깨회전운동기+러닝머신+전동자전거,O,O,031-760-2456,경기도 광주시보건소,2025-12-19,B553430,한국건강증진개발원
철산건강생활지원센터,기본형,"경기도 광명시 시청로 102 (철산동), 4~5층",37.48533692,126.8664737,09:00,18:00,토+일+공휴일,만성질환관리+영양+신체활동+비만,,0,1,1,1,0,0,0,행정인력(3),체성분분석기+ 혈압계+신장체중계+혈당,체력측정 및 운동가이드시스템+보행측정,레그익스텐션+업도미널크런치+백익스텐션,없음,조리실습용장비+영양프로그램,없음,없음,X,X,02-2680-5020,경기도 광명시보건소,2025-12-19,B553430,한국건강증진개발원
소하건강생활지원센터,기본형,"경기도 광명시 소하로 196, 2층",37.4464191906,126.8946876281,09:00,18:00,토+일+공휴일,만성질환관리+영양+신체활동+비만,열린체력단련실 운영,0,1,1,1,0,0,0,행정인력(2),혈압계+자동신장체중계+체성분분석기(체,악력 측정기+체력진단 및 운동 가이드,러닝머신+사이클+체스트프레스+레그익스,없음,조리실습용장비+영양프로그램,없음,없음,X,X,02-2680-7990,경기도 광명시보건소,2025-12-19,B553430,한국건강증진개발원
광명건강생활지원센터,기본형,"경기도 광명시 오리로 1018, 3층",37.4809139156,126.8504732257,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+금연+모자보건+아토피천식,,0,2,0,0,0,0,0,,체성분분석기+신장체중계+혈압계+콜레스,없음,러닝머신,없음,없음,없음,없음,X,X,02-2680-2798,경기도 광명시보건소,2025-12-19,B553430,한국건강증진개발원
과천시건강생활지원센터,동단위형,"경기도 과천시 과천대로7가길 20, 프리즘스퀘어1 B동 지하1층",37.4141764311,126.9806125679,09:00,18:00,토+일+공휴일,금연+신체활동+영양+만성질환관리+모자보건,대사증후군 관리,0,1,1,1,0,0,0,행정인력(1),체성분분석기+혈압계+혈당측정기+고지혈,앉아서윗몸앞으로굽히기측정기+윗몸일으키,없음,일산화탄소(CO)측정기,식품구성자석보드판,없음,없음,O,X,02-2150-3671,경기도 과천시보건소,2025-12-19,B553430,한국건강증진개발원
덕양건강생활지원센터,기본형,"경기도 고양시 덕양구 은빛로 72, 내일꿈제작소 B동 2층",37.6371263948,126.8360067749,09:00,18:00,토+일+공휴일,절주+영양+신체활동+심뇌혈관질환예방관리,,0,2,1,1,1,0,0,행정인력(1),체성분분석기+혈압계,악력측정기+자전거에르고미터,레그프레스머신+좌식사이클,없음,식품모형+영양프로그램,가상음주체험고글,없음,X,X,031-8075-4823,경기도 고양시 덕양구보건소,2025-12-19,B553430,한국건강증진개발원
고양건강생활지원센터,기본형,"경기도 고양시 덕양구 혜음로 19-11, 고양동종합복지회관 3층",37.7025173052,126.9011966605,09:00,18:00,토+일+공휴일,신체활동+영양+만성질환관리,,0,1,1,1,1,0,0,행정인력(1),체성분분석기+혈압계+콜레스테롤측정기,없음,없음,없음,식단모형,없음,없음,X,X,031-8075-4825,경기도 고양시 덕양구보건소,2025-12-19,B553430,한국건강증진개발원
평창군건강생활지원센터,기본형,강원특별자치도 평창군 진부면 석두산2길 13,37.6372676451,128.5535169744,09:00,18:00,토+일+공휴일,영양+신체활동+금연+심뇌혈관+만성질환관리,방문원격+건강체험관,0,6,0,2,0,0,2,행정인력(4),체성분분석기+신장체중계+혈압계+혈당측,악력측정기+자전거에르고미터,러닝머신+좌식사이클+음파운동기+손마사,일산화탄소측정기+폐활량측정기+니코틴타,염도계+식단/식품모형+영양프로그램+식,가상음주체험고글+음주측정기,없음,O,X,033-336-6128,강원특별자치도 평창군보건의료원,2025-12-19,B553430,한국건강증진개발원
태백시건강생활지원센터,기본형,강원특별자치도 태백시 장성1길 175-1,37.1009078291,129.0090100186,09:00,18:00,토+일+공휴일,심뇌혈관+재활+신체활동+치매+영양+방문,건강상담실 운영,0,2,0,0,0,0,0,,신장체중계+체성분분석기+혈압계+당화혈,체력측정및운동가이드시스템,러닝머신+자전거 운동기,흡연자혈관모형+ 폐비교모형+폐활량측정,없음,없음,슬링+상하지운동기+레그익스텐션머신+레,X,X,033-550-2762,강원특별자치도 태백시보건소,2025-12-19,B553430,한국건강증진개발원
춘천시건강생활지원센터,기본형,강원특별자치도 춘천시 우두하리길 21,37.9018574082,127.7410429629,09:00,18:00,토+일+공휴일,신체활동+만성질환관리+재활+영양+비만,어린이 건강체험관 운영,0,1,1,1,2,0,0,청원경찰(1),체성분분석기+혈압계+콜레스테롤측정기+,종합체력기능측정기,랫풀다운+레그익스텐션+벤치프레스+체스,없음,식품모형+영양프로그램+조리실습용장비+,가상음주체험고글(어린이),프레스머신+숄더 프레스 머신+로타리 ,O,X,033-245-5561,강원특별자치도 춘천시보건소,2025-12-19,B553430,한국건강증진개발원
서원주건강생활지원센터,기본형,강원특별자치도 원주시 지정면 가곡로 75-2,37.3771793737,127.8754203235,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+영양+금연,,0,2,2,1,0,0,0,,체성분분석기+혈압계+혈당측정기+당화혈,종합체력기능측정기,벤치프레스+레그익스텐션머신+숄더프레스,일산화탄소(CO)측정기,염도계+식단/식품모형+식품구성자석보드,없음,없음,O,X,033-737-3721,강원특별자치도 원주시보건소,2025-12-19,B553430,한국건강증진개발원
서부(강릉시)건강생활지원센터,기본형,강원특별자치도 강릉시 선수촌로 139,37.7634807001,128.8695373043,09:00,18:00,토+일+공휴일,모자보건+영양+비만+아토피천식+만성질환관리,어린이 건강체험관+치매환자쉼터,0,5,2,1,2,0,0,,체성분분석기+신장체중계+혈압계+혈당측,없음,없음,흡연자/비흡연자 폐 비교 모형,식단/식품모형+식품구성 자석 보드판+,가상음주체험고글,없음,O,X,033-660-2775,강원특별자치도 강릉시보건소,2025-12-19,B553430,한국건강증진개발원
