건강생활지원센터명,건강생활지원센터 유형,소재지도로명주소,위도,경도,운영시작시각,운영종료시각,휴무일정보,건강증진사업내용,기타이용안내,의사수,간호사수,영양사수,신체활동전문인력수,물리/작업치료사수,사회복지사수,간호조무사수,기타인력현황,건강검진장비현황,체력측정장비현황,운동장비현황,금연사업장비현황,영양사업장비현황,절주사업장비현황,재활사업장비현황,기타보건교육장비현황,감염병예방장비현황,운영기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
서면건강생활지원센터,기본형,강원특별자치도 철원군 서면 무금로 48번길 15,38.2443837748,127.4374319284,09:00,18:00,토+일+공휴일,금연+절주+신체활동+영양+비만+구강+심뇌혈관+만성질환관리,건강동아리 회원 수시 모집+ 행복한 ,0,2,0,0,0,1,1,치과위생사(1),체성분분석기+혈압계+혈당측정기+고지혈,자세측정기+보행측정기,없음,일산화탄소(CO)측정기+폐활량측정기+,염도계+식단/식품모형+영양프로그램,어린이 음주예방모형+가상음주체험고글,없음,X,X,033-450-5654,강원특별자치도 철원군보건소,2025-12-19,B553430,한국건강증진개발원
북삼건강생활지원센터,기본형,강원특별자치도 동해시 청운로 96,37.4885287262,129.1026734685,09:00,18:00,토+일+공휴일,만성질환관리+금연+신체활동+음주폐해예방,정신건강사업+체력단련실운영,0,3,1,1,0,0,0,행정인력(3)+금연지도사(1),체성분분석기+혈압계+혈당측정기,악력측정기,러닝머신+진동운동기+사이클,일산화탄소측정기+폐활량측정기+흡연자인,염도계+식단/식품모형+영양프로그램,가상음주체험고글,없음,X,X,033-530-2423,강원특별자치도 동해시보건소,2025-12-19,B553430,한국건강증진개발원
북방면건강생활지원센터,기본형,강원특별자치도 홍천군 북방면 상화계2길 17,37.7060341152,127.8542579691,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+영양,건강플러스마을사업+북방면 건강증진프로,0,1,2,0,1,0,0,행정인력(1),혈압계+혈당측정기+당화혈색소측정기+콜,악력측정기+자전거에르고미터,러닝머신+상하체근력기구+안마의자+좌식,일산화탄소(CO)측정기,염도계+식단/식품모형+영양프로그램,어린이 음주예방모형+가상음주체험고글,없음,O,X,033-430-4132,강원특별자치도 홍천군보건소,2025-12-19,B553430,한국건강증진개발원
동부(강릉시)건강생활지원센터,기본형,강원특별자치도 강릉시 강릉대로 313번길 6,37.7649948171,128.9019204821,09:00,18:00,토+일+공휴일,심뇌혈관+재활+방문,운동실 운영,0,14,1,0,1,0,0,,체성분분석기+혈압계+혈당측정기+당화혈,없음,러닝머신+버터플라이머신+체스트플라이머,없음,없음,없음,재활운동용 러닝머신+공압식 운동기기+,O,X,033-660-2302,강원특별자치도 강릉시보건소,2025-12-19,B553430,한국건강증진개발원
남원주건강생활지원센터,기본형,강원특별자치도 원주시 단관공원길 86,37.3163777493,127.9573872686,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+영양+금연,어린이건강체험관 운영,0,2,1,1,0,0,0,,체성분분석기+혈압계+혈당측정기+당화혈,종합체력기능측정기,스태퍼+좌식사이클,일산화탄소(CO)측정기+흡연자 구강모,염도계+당도계+식단/식품모형+식품구성,어린이 음주예방모형+음주체험고글,없음,O,X,033-737-5205,강원특별자치도 원주시보건소,2025-12-19,B553430,한국건강증진개발원
남부(강릉시)건강생활지원센터,기본형,강원특별자치도 강릉시 성덕포남로 80-22,37.7632348309,128.9188369326,09:00,18:00,토+일+공휴일,만성질환관리+한의약,모바일헬스케어사업+소생활권맞춤형건강증,0,3,1,1,0,0,0,행정인력(1),체성분분석기+혈압계+혈당측정기+당화혈,없음,러닝머신+버터플라이머신+체스트플라이머,없음,식단/식품모형+영양프로그램,없음,없음,O,X,033-660-2483,강원특별자치도 강릉시보건소,2025-12-19,B553430,한국건강증진개발원
남면건강생활지원센터,기본형,강원특별자치도 홍천군 남면 양덕원로 104,37.6186375099,127.7683276302,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+영양+치매+정신건강,건강플러스마을사업+남면 건강증진프로그,0,0,1,0,1,0,1,행정인력(1),체성분분석기+신장체중계+혈압계+혈당측,없음,러닝머신+사이클,없음,염도계+영양프로그램,없음,사이클,O,X,033-430-4116,강원특별자치도 홍천군보건소,2025-12-19,B553430,한국건강증진개발원
고성군건강생활지원센터,기본형,강원특별자치도 고성군 거진읍 행랑골길 24-1,38.449276119,128.455178064,09:00,18:00,토+일+공휴일,금연+영양+구강+신체활동+심뇌혈관+만성질환관리,건강플러스마을사업+체성분분석기(인바디,0,2,0,0,0,0,0,행정인력(2),체성분분석기+혈압계+혈당측정기+콜레스,악력측정기+자전거에르고미터+종합체력기,러닝머신+좌식자전거+코어운동기구5종,일산화탄소(CO)측정기,없음,없음,없음,O,X,033-680-3545,강원특별자치도 고성군보건소,2025-12-19,B553430,한국건강증진개발원
서귀포시건강생활지원센터,기본형,"제주특별자치도 서귀포시 서호남로 12(3, 4층)",33.2498649783,126.5134064351,09:00,18:00,토+일+공휴일,신체활동+영양,건강체험관 운영,0,3,1,1,0,0,0,행정인력(1),혈압계+스트레스측정기+체성분분석기+콜,종합체력기능측정기+보행측정기,메타버스 자전거,흡연예방 동영상,식단/식품모형+영양교육실,가상음주체험고글,없음,X,X,064-760-6483,제주특별자치도 서귀포시 서귀포보건소,2025-12-19,B553430,한국건강증진개발원
노형건강생활지원센터,기본형,제주특별자치도 제주시 노형9길 9-4,33.48288157,126.4769921,09:00,18:00,토+일+공휴일,재활+만성질환관리+신체활동+영양+치매,건강동아리활동지원+금연클리닉(주1회),0,5,0,0,1,0,0,행정인력(1),체성분분석기+신장체중계+혈압계+혈당측,없음,없음,없음,없음,없음,트레드밀+전동상지운동기+전동하지운동기,X,X,064-728-8730,제주특별자치도 제주시 제주보건소,2025-12-19,B553430,한국건강증진개발원
행복완주건강생활지원센터,기본형,전북특별자치도 완주군 이서면 반교로 40-6,35.8244012045,127.0232622969,09:00,18:00,토+일+공휴일,심뇌혈관+신체활동+치매+영양+모자보건,심폐소생술체험+모유수유실,0,4,0,0,0,0,0,행정인력(1),체성분분석기+혈당측정기+콜레스테롤측정,악력측정기+윗몸일으키기측정기+윗몸앞으,없음,일산화탄소측정기+폐활량측정기,식단/식품모형,없음,없음,O,X,063-290-3127,전북특별자치도 완주군보건소,2025-12-19,B553430,한국건강증진개발원
평화건강생활지원센터,기본형,전북특별자치도 전주시 완산구 평화13길 7,35.7907639998,127.1366936302,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+비만+영양+재활+구강,,0,2,2,1,3,0,0,행정인력(3)+치과위생사(2),체성분분석기+혈압계+혈당측정기+당화혈,없음,러닝머신+사이클+스텝퍼,흡연자구강모형,식품모형+식품구성자전거모형+근육모형+,가상음주체험고글,보바스테이블+코끼리자전거+전동상하지운,O,X,063-281-6649,전북특별자치도 전주시보건소,2025-12-19,B553430,한국건강증진개발원
장계면건강생활지원센터,기본형,전북특별자치도 장수군 장계면 한들로 124,35.73112933,127.5856748,09:00,18:00,토+일+공휴일,심뇌혈관+영양+신체활동+금연,장계면보건사업+운동실+조리실습실+대사,0,1,1,1,0,0,0,치과위생사(1)+심리상담사(1),체성분분석기+혈압계+신장체중계+체온계,체력측정및운동가이드시스템+악력측정기+,러닝머신+입식사이클+좌식사이클+엘립티,일산화탄소(CO)측정기+폐기능측정기+,식단모형+염분량입체패널+염도계+손씻기,없음,없음,X,X,063-352-8700,전북특별자치도 장수군보건의료원,2025-12-19,B553430,한국건강증진개발원
서부(익산시)건강생활지원센터,기본형,"전북특별자치도 익산시 학곤로 76 (송학동), 푸른솔커뮤니티센터 3~4층",35.9379208945,126.938490245,09:00,18:00,토+일+공휴일,신체활동+영양+비만+치매+모자보건+심뇌혈관+만성질환관리,,0,1,1,1,0,0,1,행정인력(2),체성분분석기+혈압계+혈당측정기+콜레스,악력측정기+윗몸일으키기측정기+에어로바,러닝머신+렛플다운머신+버터플라이머신+,흡연예방키오스크,식품구성자전거+소화과정공넣기패널+소화,어린이음주체험세트+음주예방걸어보기센서,없음,O,X,063-859-7502,전북특별자치도 익산시보건소,2025-12-19,B553430,한국건강증진개발원
서부(군산시)건강생활지원센터,기본형,전북특별자치도 군산시 설림5길 83,35.9743154924,126.6792743357,09:00,18:00,토+일+공휴일,신체활동+영양+비만+치매+만성질환관리,조리실습실+운동관리실,0,1,1,1,0,0,0,행정인력(2),체성분분석기+혈압계+청진기+혈당측정기,악력측정기+종합체력기능측정기+앉아서윗,러닝머신+좌식사이클+벨트마사지기+로잉,일산화탄소(CO)측정기+폐비교모형+흡,염도계+당도계+염분량입체모형패널+고혈,알코올중독의증상(액자)+다양한질환의원,없음,X,X,063-454-5170,전북특별자치도 군산시보건소,2025-12-19,B553430,한국건강증진개발원
부안군건강생활지원센터,기본형,전북특별자치도 부안군 행안면 월륜길 74-34,35.7208792327,126.717509698,09:00,18:00,토+일+공휴일,신체활동+비만+영양+절주,건강생활실천사업+모바일 헬스케어사업+,0,2,1,1,0,0,0,행정인력(2)+사업보조인력(1),체성분분석기+혈압계+신장체중계+혈당측,앉아윗몸앞으로굽히기측정기+악력측정기+,러닝머신+레그익스텐션머신+업도미널&백,없음,염도계+당도계+염분량입체모형패널+식단,가상음주체험키트 및 고글,없음,X,X,063-580-3799,전북특별자치도 부안군보건소,2025-12-19,B553430,한국건강증진개발원
동부(익산시)건강생활지원센터,기본형,전북특별자치도 익산시 금마면 고도길26-6,35.9937925243,127.0501632697,09:00,18:00,토+일+공휴일,신체활동+영양+만성질환관리+심뇌혈관+치매+금연+절주,,0,1,1,1,0,0,1,행정인력(2),체성분분석기+자동신장계+혈압계+혈당측,악력측정기+앉아윗몸앞으로굽히기측정기+,러닝머신+레그프레스머신+토르소머신+윗,직접흡연시연기모형,염도계+식품구성자전거+교환단위모형+소,가상음주체험고글,없음,O,X,063-859-7472,전북특별자치도 익산시보건소,2025-12-19,B553430,한국건강증진개발원
남원시건강생활지원센터,기본형,전북특별자치도 남원시 용성로 135-9 (동충동),35.41143087,127.3901576,09:00,18:00,토+일+공휴일,신체활동+영양+비만+모자보건+만성질환관리,심폐소생술 체험+가족수유실,0,2,1,1,0,0,1,행정인력(1),체성분분석기+신장체중계+혈압계+혈당측,악력측정기+윗몸일으키기측정기+에어로바,트레드밀+랫풀다운머신+체스트프레스머신,없음,식품모형+근육모형+지방모형+식품구성자,가상음주체험고글,없음,O,O,063-620-7946,전북특별자치도 남원시보건소,2025-12-19,B553430,한국건강증진개발원
남부(익산시)건강생활지원센터,기본형,전북특별자치도 익산시 목천로 326,35.9269099613,126.9566872253,09:00,18:00,토+일+공휴일,신체활동+영양+비만+치매+금연+절주+모자보건+심뇌혈관+만성질환관리+재활,,0,3,1,1,3,0,1,행정인력(5),체성분분석기+신장체중계+혈압계+혈당측,악력측정기+윗몸일으키기측정기+에어로바,렛플다운+버터플라이머신+레그컬머신+레,담배쩔은치아모형+금연홍보판(매직미러센,소화과정알기등신대+건강간식막대+근육모,가상음주체험세트+음주체험다트,계단훈련기+스트레치용발판ㆍ접이식워커+,O,X,063-859-4938,전북특별자치도 익산시보건소,2025-12-19,B553430,한국건강증진개발원
완도군건강생활지원센터,기본형,전라남도 완도군 완도읍 청해진동로70,34.31779883,126.7355876,09:00,18:00,토+일+공휴일,신체활동+영양+심뇌혈관+만성질환관리,,0,1,1,1,0,0,0,행정인력 (3),체성분분석기+전자혈압계+신장체중계,악력측정기+유연성측정기+심폐지구력측정,러닝머신+스쿼트랙+전동거꾸리+토탈힙머,없음,염도계+식단/식품모형,없음,없음,X,X,061-550-6712,전라남도 완도군보건의료원,2025-12-19,B553430,한국건강증진개발원
연향건강생활지원센터,기본형,전라남도 순천시 팔마3길 14-7,34.9346824918,127.5163779724,09:00,18:00,토+일+공휴일,금연+절주+신체활동+영양+비만+만성질환관리,어린이건강체험관 운영+심폐소생술 상설,0,2,1,1,0,0,0,행정인력(1),혈당측정기+고지혈증측정기+당화혈색소측,악력측정기+유연성검사+근지구력검사+배,러닝머신(4)+일립티컬머신+좌식사이클,일산화탄소(CO)측정기+흡연자 구강모,염도계+식단/식품모형+영양상담,어린이 음주예방모형+가상음주체험고글,없음,O,X,061-749-4262,전라남도 순천시보건소,2025-12-19,B553430,한국건강증진개발원
신대건강생활지원센터,기본형,전라남도 순천시 해룡면 신대로 142,34.9367674096,127.5504516754,09:00,18:00,토+일+공휴일,금연+절주+신체활동+영양+비만+만성질환관리,아동돌봄놀이교실 운영,0,2,1,1,1,0,0,,혈당측정기+고지혈증측정기+당화혈색소측,악력측정기+윗몸일으키기측정기+에어로바,러닝머신+레그컬머신+레그프레스머신+에,일산화탄소(CO)측정기+흡연자 구강모,식단/식품모형,없음,없음,O,X,061-749-3640,전라남도 순천시보건소,2025-12-19,B553430,한국건강증진개발원
빛가람건강생활지원센터,기본형,전라남도 나주시 빛가람로 721,35.0222062973,126.7906416554,09:00,18:00,토+일+공휴일,신체활동+심뇌혈관+모자보건+금연+방문,건강증진실 운영,0,4,0,0,0,0,0,행정인력(1),체성분분석기+혈압계,체전굴측정기+근력측정기+악력측정기+윗,러닝머신+하체근력강화 자전거+레그프레,일산화탄소(CO)측정기+흡연자 구강모,영양식단계획요령 지도자료,없음,없음,X,O,061-339-4752,전라남도 나주시 보건소,2025-12-19,B553430,한국건강증진개발원
이호건강생활지원센터,기본형,"제주특별자치도 제주시 도리로 57 (이호일동), 2층",33.49892575,126.4578803,09:00,18:00,토+일+공휴일,심뇌혈관+신체활동+치매+영양+금연,경로당 건강관리+금연클리닉(주1회),0,3,1,1,1,0,0,,체성분분석기+혈압계+신장체중계+당화혈,악력측정기,치닝디핑+평벤치,없음,없음,없음,없음,O,X,064-728-8692,제주특별자치도 제주시 제주보건소,2025-12-19,B553430,한국건강증진개발원
남악건강생활지원센터,기본형,전라남도 무안군 삼향읍 남악3로 40,34.80941904,126.4610002,09:00,18:00,토+일+공휴일,신체활동+비만+금연+치매+모자보건+만성질환관리+구강+영양,활력120세 방 운영,0,4,0,1,0,0,0,행정인력(1),체성분분석기+혈압계+혈당측정기+고지혈,종합체력기능측정기+배근력측정기+악력측,러닝머신+사이클+스텝퍼+일립티컬 머신,일산화탄소(CO)측정기+흡연실험모형+,식단/식품모형,음주운전모형+가상음주체험고글,정형용 운동장치+치료용 계단/사다리+,O,X,061-450-5001,전라남도 무안군보건소,2025-12-19,B553430,한국건강증진개발원
금호건강생활지원센터,기본형,전라남도 광양시 금호로 299-11,34.9393336191,127.7315971521,09:00,18:00,토+일+공휴일,만성질환관리+금연+신체활동+영양+치매,,0,2,1,1,0,0,0,행정인력(1),혈압계+혈당측정기+헤모글로빈측정기+고,체성분 분석기+신장체중계,러닝머신+버터플라이머신+펙덱플라이머신,일산화탄소측정기+폐비교모형+흡연자혈관,식단및식품추천모형+염도계+식품구성자석,절주모형+가상음주체험고글+간비교모형,재활운동용러닝머신+자전거운동기+어깨회,O,O,061-797-4991,전라남도 광양시보건소,2025-12-19,B553430,한국건강증진개발원
광영건강생활지원센터,기본형,전라남도 광양시 금영로 127,34.9619706885,127.7194206193,09:00,18:00,토+일+공휴일,만성질환관리+금연+신체활동+영양+치매,,0,2,1,1,0,0,0,행정인력(2),혈압계+당화혈색소측정기+혈당측정기+고,악력측정기+윗몸일으키기측정기+종합체력,버터플라이 머신+체스트 플라이 머신+,일산화탄소측정기+폐 비교 모형+흡연자,"고혈압,당뇨 등 각종 식단 및 식품 ",간비교 모형+가상음주체험고글,없음,O,X,061-797-4075,전라남도 광양시보건소,2025-12-19,B553430,한국건강증진개발원
골약건강생활지원센터,기본형,전라남도 광양시 성황3길 19,34.9375750912,127.677720794,09:00,18:00,토+일+공휴일,만성질환관리+금연+신체활동+영양+치매,보건교육실운영,0,2,1,1,0,0,0,행정인력(2),혈압계+체온계+신장체중계+체성분분석기,없음,러닝머신+사이클+진동운동기,일산화탄소측정기+폐비교모형+흡연자혈관,염도계+조리실습용장비+헤모글로빈측정기,간비교모형+가상음주체험고글+절주모형,없음,O,O,061-797-4894,전라남도 광양시보건소,2025-12-19,B553430,한국건강증진개발원
송도건강생활지원센터,기본형,인천광역시 연수구 인천타워대로54번길 19,37.3797809087,126.6465727383,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+영양+모자보건+재활+기타,"감염병관리(비타민D,초기임산부 등 검",0,2,1,1,2,0,0,임상병리사(1),혈압계+신장체중계+체성분분석기+당화혈,종합체력기능측정기+자세측정기+평형측정,러닝머신+진동운동기+사이클+순환식유압,없음,염도계+영양프로그램,없음,상·하지운동기+재활러닝머신+공기압식운,O,O,032-749-6910,인천광역시 연수구보건소,2025-12-19,B553430,한국건강증진개발원
완정건강생활지원센터,기본형,"인천광역시 서구 청마로 167번길 19, 2층",37.59210015,126.6746299,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+비만+영양+금연+구강+모자보건,모자건강증진프로그램 운영,0,3,0,1,0,0,0,,체성분분석기+신장체중계+혈압계+당화혈,족저압측정기+자세측정기,멀티미디어운동장비+진동운동장비+상하지,일산화탄소(CO)측정기+흡연자 구강모,식단/식품모형+영양프로그램,없음,보바스테이블+기립훈련기+FES+전동작,O,X,032-718-0530,인천광역시 서구보건소,2025-12-19,B553430,한국건강증진개발원
검단건강생활지원센터,기본형,인천광역시 서구 완정로 214(금곡동),37.60359312,126.6529572,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+비만+영양+금연+구강+모자보건,주민 바른자세 건강관리사업,0,3,1,1,0,0,0,,체성분분석기+혈압계+당화혈색소측정기+,체력기능검사매트+악력측정기+자전거에르,러닝머신+실내사이클+로잉머신,일산화탄소(CO)측정기,염도계+식단/식품모형,없음,없음,X,X,032-718-0580,인천광역시 서구보건소,2025-12-19,B553430,한국건강증진개발원
가재울건강생활지원센터,동단위형,"인천광역시 서구 여우재로82번길 9 (가좌동), 주민공동이용시설 3층",37.4864513271,126.6887435356,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+비만+영양+금연+구강+모자보건,중장년건강관리프로그램 운영,0,2,1,1,0,0,0,,체성분분석기+혈압계+당화혈색소측정기+,없음,없음,없음,없음,없음,없음,X,X,032-718-0540,인천광역시 서구보건소,2025-12-19,B553430,한국건강증진개발원
석남건강생활지원센터,기본형,"인천광역시 서구 길주로 79, 6층",37.50676483,126.670879,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+비만+영양+금연+구강+모자보건,어린이건강체험관 운영,0,3,0,1,1,0,0,,체성분분석기+혈압계+혈당측정기+당화혈,윗몸일으키기측정기+앉아서윗몸앞으로굽히,좌식사이클,일산화탄소측정기+흡연자 폐모형,식단/식품모형,가상음주체험고글,어깨회전운동기,O,O,032-718-0550,인천광역시 서구보건소,2025-12-19,B553430,한국건강증진개발원
가좌건강생활지원센터,기본형,"인천광역시 서구 건지로284번길 60, 1층",37.4939298223,126.6730350758,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+비만+영양+금연+구강+모자보건,찾아가는 건강상담실 운영,0,3,1,1,0,0,0,,체성분분석기+혈압계+혈당측정기+당화혈,악력측정기+윗몸일으키기측정기+앉아서윗,좌식사이클,일산화탄소(CO)측정기+흡연으로 인한,식단/식품모형,가상음주체험고글,휠체어+목발,O,O,032-718-0570,인천광역시 서구보건소,2025-12-19,B553430,한국건강증진개발원
가정·신현원창건강생활지원센터,기본형,"인천광역시 서구 가정로406번길 25 (가정동), 2층",37.5219556542,126.6765081795,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+비만+영양+금연+구강+모자보건,스마트건강관리프로그램 운영,0,4,1,1,0,0,0,,체성분분석기+혈압계+혈당측정기+당화혈,자세측정기+족저압측정기+보행측정기,순환운동장비(레그익스텐션(대퇴부)+업,흡연자구강모형,식단/식품모형,없음,없음,O,X,032-718-0560,인천광역시 서구보건소,2025-12-19,B553430,한국건강증진개발원
열우물건강생활지원센터,기본형,"인천광역시 부평구 열우물로 103, 3층",37.4758045853,126.6961223162,09:00,18:00,토+일+공휴일,금연+신체활동+영양+구강+심뇌혈관관리,운동관리실 운영,0,3,1,1,0,0,0,,체성분분석기+혈압계+당화혈색소측정기+,종합체력기능측정기+폐활량측정기+스트레,러닝머신+체스트프레스+버터플라이+어덕,일산화탄소(CO)측정기+폐비교모형+1,고혈압+당뇨등각종식단및식품추천모형+염,없음,없음,O,X,032-509-3160,인천광역시 부평구보건소,2025-12-19,B553430,한국건강증진개발원
삼산건강생활지원센터,기본형,"인천광역시 부평구 부평북로 447, 4층",37.5221852613,126.7433335366,09:00,18:00,토+일+공휴일,금연+신체활동+영양+구강+재활+심뇌혈관관리,재활운동실 운영,0,3,1,1,1,0,0,,체성분분석기+혈압계+당화혈색소측정기+,종합체력기능측정기,없음,일산화탄소(CO)측정기+흡연자 구강모,염도계+영양프로그램,없음,공압식 상지운동기기+공압식 하지운동기,X,X,032-459-4170,인천광역시 부평구보건소,2025-12-19,B553430,한국건강증진개발원
송림건강생활지원센터,기본형,"인천광역시 동구 새천년로 93 (송림동), 송림골꿈드림센터５층",37.4764354937,126.6481857947,09:00,18:00,토+일+공휴일,만성질환관리+신체활동＋영양＋비만＋심뇌혈관관리,원스톱건강관리서비스 예약제 운영＋심폐,0,1,1,1,0,0,0,행정인력(2),체성분분석기+신장체중계+콜레스테롤측정,악력측정기+체력측정 및 운동가이드 시,체스트프레스머신+숄더프레스머신+업도미,일산화탄소(CO)측정기,염분량입체모형패널+영양프로그램,없음,없음,O,X,032-770-6276,인천광역시 동구보건소,2025-12-19,B553430,한국건강증진개발원
서창건강생활지원센터,기본형,"인천광역시 남동구 서창남로 99, 3층",37.4274678566,126.7471055071,09:00,18:00,토+일+공휴일,만성질환관리+재활+비만+신체활동,,0,1,0,1,3,0,0,행정인력(1),혈압계+당화혈색소측정기+혈당측정기+혈,종합체력기능측정기+악력측정기+윗몸일으,공기압운동기구+러닝머신,일산화탄소(CO)측정기+폐 비교모형,고혈압+ 당뇨+ 고지혈증+ 성인비만 ,없음,탈부하운동기+종합작업치료세트+재활러닝,X,X,032-719-1620,인천광역시 남동구보건소,2025-12-19,B553430,한국건강증진개발원
간석건강생활지원센터,기본형,인천광역시 남동구 간석로41번길 18,37.4674587927,126.7130108452,09:00,18:00,토+일+공휴일,만성질환관리+재활+치매+비만+신체활동,,0,5,0,1,2,0,0,행정인력(2)+요양보호사(3),혈압계+혈당측정기+고지혈증측정기+신장,종합체력기능측정기+악력측정기+윗몸일으,없음,없음,식품모형,없음,러닝머신+자전거운동기+등속성운동기+공,X,X,032-453-5960,인천광역시 남동구보건소,2025-12-19,B553430,한국건강증진개발원
효성건강생활지원센터,기본형,"인천광역시 계양구 봉오대로 543번길 21, 효성평생건강센터 3층",37.5325272056,126.7086103179,09:00,18:00,토+일+공휴일,신체활동+영양+심뇌혈관+금연,원스톱건강관리서비스 예약제 운영,0,2,1,1,0,0,0,의료기술직(1),체성분분석기+혈압계+혈당측정기+고지혈,악력측정기+자전거에르고미터+윗몸일으키,러닝머신,일산화탄소(CO)측정기,염도계+식단/식품모형+영양프로그램+소,없음,없음,O,X,032-430-7793,인천광역시 계양구보건소,2025-12-19,B553430,한국건강증진개발원
이화정건강생활지원센터,기본형,울산광역시 북구 이화3길 5 (중산동),35.662505753,129.3422161669,09:00,18:00,토+일+공휴일,신체활동+영양+비만+심뇌혈관+만성질환관리,통합건강상담실 예약제 운영,0,3,1,0,0,0,0,,체성분분석기+혈압계+뇌파측정기+혈당측,체력측정및운동가이드시스템,체스트플라이머신+레그익스텐션머신+숄더,없음,없음,없음,없음,X,X,052-241-8275,울산광역시 북구보건소,2025-12-19,B553430,한국건강증진개발원
무거건강생활지원센터,기본형,울산광역시 남구 대학로147번길 41-26(무거동),35.5512450706,129.2596406645,09:00,18:00,토+일+공휴일,신체활동+영양+심뇌혈관+재활,,0,3,2,2,1,0,0,,체성분분석기+혈압계+혈당측정기+당화혈,종합체력기능측정기+악력측정기,러닝머신+균형훈련기+사이클,없음,염도계+식단/식품모형,없음,진동운동기+사이클+균형훈련기,X,X,052-226-2345,울산광역시 남구보건소,2025-12-19,B553430,한국건강증진개발원
